Registered Voters,Ballots Cast,Turnout,
28,868,644,74.19%
29,338,284,84.02%
30,479,367,76.62%
31,845,601,71.12%
32,1549,1204,77.73%
33,565,470,83.19%
34,680,541,79.56%
35,1381,1023,74.08%
Total,"34,362","24,403",71.02%
,,,
Ward 40,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1073,788,73.44%
2,1748,1063,60.81%
3,1626,1004,61.75%
4,1558,981,62.97%
5,1395,834,59.78%
6,1474,899,60.99%
7,1292,949,73.45%
8,1060,625,58.96%
9,1705,1126,66.04%
10,1748,1508,86.27%
11,1816,1193,65.69%
12,1527,1116,73.08%
13,1203,1041,86.53%
14,1528,1362,89.14%
15,1045,952,91.10%
16,1063,908,85.42%
17,1208,982,81.29%
18,1397,1123,80.39%
19,1249,1066,85.35%
20,1240,1102,88.87%
21,1148,1024,89.20%
22,1593,1429,89.70%
23,1467,1294,88.21%
Total,"32,163","24,369",75.77%
,,,
Ward 41,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1662,985,59.27%
2,782,546,69.82%
3,1333,750,56.26%
4,1008,750,74.40%
5,939,749,79.77%
6,1018,806,79.17%
7,777,595,76.58%
8,865,630,72.83%
9,1712,1268,74.07%
10,1413,1032,73.04%
11,968,739,76.34%
12,716,514,71.79%
13,1734,1219,70.30%
14,1900,1291,67.95%
15,1802,1414,78.47%
16,667,524,78.56%
17,507,386,76.13%
18,1472,1160,78.80%
19,707,557,78.78%
20,749,610,81.44%
21,688,539,78.34%
22,640,499,77.97%
23,807,632,78.31%
24,1497,1133,75.68%
25,1165,900,77.25%
26,1513,1185,78.32%
27,1064,822,77.26%
28,1762,1369,77.70%
29,1667,1384,83.02%
30,1429,1155,80.83%
31,1265,1031,81.50%
Total,"36,228","27,174",75.01%
,,,
Ward 42,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,570,504,88.42%
2,557,451,80.97%
3,1797,1529,85.09%
4,1257,1114,88.62%
5,1533,1366,89.11%
6,606,539,88.94%
7,1135,1028,90.57%
8,848,767,90.45%
9,1283,1087,84.72%
10,1041,855,82.13%
11,1244,1163,93.49%
12,930,820,88.17%
13,538,473,87.92%
14,402,361,89.80%
15,522,529,101.34%
16,1624,1416,87.19%
17,1761,1556,88.36%
18,1150,955,83.04%
19,1506,1308,86.85%
20,1531,1341,87.59%
21,1791,1501,83.81%
22,1803,1686,93.51%
23,1625,1306,80.37%
24,1604,1345,83.85%
Total,"28,658","25,000",87.24%
,,,
Ward 43,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1366,1156,84.63%
2,1737,1511,86.99%
3,565,456,80.71%
4,1150,1103,95.91%
5,1616,1405,86.94%
6,1868,1704,91.22%
7,1734,1608,92.73%
8,1531,1525,99.61%
9,1937,1807,93.29%
10,1389,1177,84.74%
11,851,758,89.07%
12,1658,1514,91.31%
13,1216,1051,86.43%
14,744,669,89.92%
15,1696,1412,83.25%
16,742,649,87.47%
17,1632,1491,91.36%
18,1849,1717,92.86%
19,1826,1582,86.64%
20,1370,1307,95.40%
21,701,693,98.86%
22,1948,1750,89.84%
23,1193,1084,90.86%
Total,"32,319","29,129",90.13%
,,,
Ward 44,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1488,1485,99.80%
2,1221,1145,93.78%
3,1350,1238,91.70%
4,1827,1649,90.26%
5,1324,1303,98.41%
6,1282,1295,101.01%
7,1467,1392,94.89%
8,1483,1412,95.21%
9,1852,1754,94.71%
10,1775,1713,96.51%
11,1368,1285,93.93%
12,1576,1542,97.84%
13,1605,1591,99.13%
14,1626,1665,102.40%
15,1733,1662,95.90%
16,1837,1598,86.99%
17,1818,1810,99.56%
18,1269,1221,96.22%
19,1820,1678,92.20%
20,1017,1047,102.95%
21,1721,1768,102.73%
Total,"32,459","31,253",96.28%
,,,
Ward 45,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1798,1408,78.31%
2,914,709,77.57%
3,595,448,75.29%
4,604,504,83.44%
5,1017,806,79.25%
6,1097,868,79.12%
7,1243,923,74.26%
8,1156,815,70.50%
9,1396,944,67.62%
10,1210,837,69.17%
11,1584,1123,70.90%
12,1150,793,68.96%
13,1259,982,78.00%
14,1010,674,66.73%
15,1172,758,64.68%
16,1211,888,73.33%
17,1581,1066,67.43%
18,1548,1064,68.73%
19,1124,779,69.31%
20,1419,931,65.61%
21,1251,890,71.14%
22,1119,830,74.17%
23,1318,932,70.71%
24,1253,855,68.24%
25,1600,1114,69.63%
26,1520,939,61.78%
27,1274,982,77.08%
28,1546,1060,68.56%
29,1172,926,79.01%
Total,"36,141","25,848",71.52%
,,,
Ward 46,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1209,1059,87.59%
2,1137,1142,100.44%
3,1400,1259,89.93%
4,1601,1457,91.01%
5,1387,1137,81.98%
6,2018,1764,87.41%
7,1341,1166,86.95%
8,1584,1412,89.14%
9,1647,1439,87.37%
10,1318,1202,91.20%
11,1697,1410,83.09%
12,1819,1637,89.99%
13,1666,1476,88.60%
14,1022,859,84.05%
15,1859,1619,87.09%
16,1678,1420,84.62%
17,1790,1430,79.89%
18,1607,1339,83.32%
19,1629,1281,78.64%
20,1508,1093,72.48%
21,950,749,78.84%
22,1555,1085,69.77%
23,1245,882,70.84%
Total,"34,667","29,317",84.57%
,,,
Ward 47,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1155,1043,90.30%
2,1180,1089,92.29%
3,1044,997,95.50%
4,1356,1224,90.27%
5,1563,1421,90.91%
6,1508,1335,88.53%
7,1843,1679,91.10%
8,1297,1166,89.90%
9,1583,1423,89.89%
10,1409,1325,94.04%
11,1242,1126,90.66%
12,974,852,87.47%
13,996,887,89.06%
14,1349,1134,84.06%
15,1313,1132,86.21%
16,1304,1150,88.19%
17,1120,1022,91.25%
18,1381,1249,90.44%
19,1543,1287,83.41%
20,1277,1156,90.52%
21,1379,1276,92.53%
22,1236,1166,94.34%
23,1402,1314,93.72%
24,1559,1453,93.20%
25,1191,1040,87.32%
26,1510,1332,88.21%
27,1426,1279,89.69%
28,1219,986,80.89%
Total,"37,359","33,543",89.79%
,,,
Ward 48,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1316,1189,90.35%
2,488,435,89.14%
3,895,730,81.56%
4,891,818,91.81%
5,440,396,90.00%
6,1285,1033,80.39%
7,1058,949,89.70%
8,827,644,77.87%
9,593,478,80.61%
10,1121,1070,95.45%
11,800,730,91.25%
12,1396,1117,80.01%
13,996,863,86.65%
14,1250,1009,80.72%
15,875,772,88.23%
16,770,623,80.91%
17,356,314,88.20%
18,1384,1090,78.76%
19,674,537,79.67%
20,421,363,86.22%
21,1527,1071,70.14%
22,600,509,84.83%
23,781,727,93.09%
24,1758,1379,78.44%
25,1093,1007,92.13%
26,613,537,87.60%
27,1007,939,93.25%
28,961,821,85.43%
29,382,354,92.67%
30,940,845,89.89%
31,941,833,88.52%
32,1004,807,80.38%
33,415,358,86.27%
34,785,651,82.93%
35,1100,983,89.36%
Total,"31,743","26,981",85.00%
,,,
Ward 49,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1637,1141,69.70%
2,1371,1064,77.61%
3,1746,1393,79.78%
4,1616,1435,88.80%
5,1664,1426,85.70%
6,177,177,100.00%
7,1821,1462,80.29%
8,1884,1588,84.29%
9,1912,1460,76.36%
10,1158,960,82.90%
11,1575,1113,70.67%
12,1693,1110,65.56%
13,1848,1342,72.62%
14,1926,1481,76.90%
15,1792,1409,78.63%
16,1607,1331,82.83%
17,1669,1414,84.72%
Total,"27,096","21,306",78.63%
,,,
Ward 50,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1133,864,76.26%
2,1143,803,70.25%
3,886,644,72.69%
4,1136,709,62.41%
5,1538,1053,68.47%
6,636,441,69.34%
7,1461,1083,74.13%
8,1708,975,57.08%
9,309,240,77.67%
10,1191,736,61.80%
11,1255,897,71.47%
12,400,288,72.00%
13,1448,967,66.78%
14,254,210,82.68%
15,1432,879,61.38%
16,250,183,73.20%
17,955,545,57.07%
18,170,135,79.41%
19,855,483,56.49%
20,660,396,60.00%
21,1467,880,59.99%
22,1702,1111,65.28%
23,1525,876,57.44%
24,1626,1106,68.02%
25,343,209,60.93%
26,850,472,55.53%
27,263,205,77.95%
28,1097,805,73.38%
Total,"27,693","18,195",65.70%
